Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1012361-annotations
Adaptation Fund,,2011,46352520,
Adaptation Fund,,2012,24062844,
Adaptation Fund,,2013,6787970,
Adaptation Fund,,2014,40233696,
Adaptation Fund,,2015,47858708,
Adaptation Fund,,2016,43762116,
Adaptation Fund,,2017,33478756,
Adaptation Fund,,2018,51300250,
Adaptation Fund,,2019,67645880,
Adaptation Fund,,2020,78816630,
Adaptation Fund,,2021,61590470,
Adaptation Fund,,2022,67691430,
Adaptation Fund,,2023,107216290,
African Development Bank,,2001,107129144,
African Development Bank,,2002,146304140,
African Development Bank,,2003,111550240,
African Development Bank,,2004,182020350,
African Development Bank,,2005,196291860,
African Development Bank,,2006,208628930,
African Development Bank,,2007,187412200,
African Development Bank,,2008,179800720,
African Development Bank,,2009,176239410,
African Development Bank,,2010,132897384,
African Development Bank,,2011,123231260,
African Development Bank,,2012,115484170,
African Development Bank,,2013,142687440,
African Development Bank,,2014,136798300,
African Development Bank,,2015,136175520,
African Development Bank,,2016,177674220,
African Development Bank,,2017,130064424,
African Development Bank,,2018,102481600,
African Development Bank,,2019,13952953,
African Development Bank,,2020,7062526,
African Development Bank,,2021,8724654,
African Development Bank,,2022,5666543,
African Development Bank,,2023,8578739,
"African Development Bank, Total",,1965,-446487,
"African Development Bank, Total",,1966,-276398880,
"African Development Bank, Total",,1967,-270981150,
"African Development Bank, Total",,1975,14932120,
"African Development Bank, Total",,1976,39710132,
"African Development Bank, Total",,1977,90419464,
"African Development Bank, Total",,1978,118210710,
"African Development Bank, Total",,1979,144603570,
"African Development Bank, Total",,1980,232369730,
"African Development Bank, Total",,1981,224267620,
"African Development Bank, Total",,1982,311085980,
"African Development Bank, Total",,1983,400858240,
"African Development Bank, Total",,1984,287709280,
"African Development Bank, Total",,1985,542103800,
"African Development Bank, Total",,1986,576044000,
"African Development Bank, Total",,1987,683307800,
"African Development Bank, Total",,1988,597182000,
"African Development Bank, Total",,1989,829322200,
"African Development Bank, Total",,1990,927945300,
"African Development Bank, Total",,1991,925490100,
"African Development Bank, Total",,1992,950480200,
"African Development Bank, Total",,1993,978985800,
"African Development Bank, Total",,1994,805736400,
"African Development Bank, Total",,1995,694899460,
"African Development Bank, Total",,1996,769500100,
"African Development Bank, Total",,1997,816166000,
"African Development Bank, Total",,1998,811609600,
"African Development Bank, Total",,1999,637247170,
"African Development Bank, Total",,2000,432439500,
"African Development Bank, Total",,2001,745223700,
"African Development Bank, Total",,2002,1055564350,
"African Development Bank, Total",,2003,745480200,
"African Development Bank, Total",,2004,1299097100,
"African Development Bank, Total",,2005,1202540000,
"African Development Bank, Total",,2006,2489114600,
"African Development Bank, Total",,2007,1514309100,
"African Development Bank, Total",,2008,1829043100,
"African Development Bank, Total",,2009,2897832200,
"African Development Bank, Total",,2010,1907667000,
"African Development Bank, Total",,2011,2235857200,
"African Development Bank, Total",,2012,2476115700,
"African Development Bank, Total",,2013,2315919600,
"African Development Bank, Total",,2014,2032228600,
"African Development Bank, Total",,2015,2401839000,
"African Development Bank, Total",,2016,2425834200,
"African Development Bank, Total",,2017,2764132400,
"African Development Bank, Total",,2018,2160907300,
"African Development Bank, Total",,2019,1748246400,
"African Development Bank, Total",,2020,2487727400,
"African Development Bank, Total",,2021,1919257500,
"African Development Bank, Total",,2022,888610800,
"African Development Bank, Total",,2023,1219152000,
African Development Fund,,1965,-446487,
African Development Fund,,1966,-276398880,
African Development Fund,,1967,-270981150,
African Development Fund,,1975,14932120,
African Development Fund,,1976,39710132,
African Development Fund,,1977,90419464,
African Development Fund,,1978,118210710,
African Development Fund,,1979,144603570,
African Development Fund,,1980,232369730,
African Development Fund,,1981,224267620,
African Development Fund,,1982,311085980,
African Development Fund,,1983,400858240,
African Development Fund,,1984,287709280,
African Development Fund,,1985,542103800,
African Development Fund,,1986,576044000,
African Development Fund,,1987,683307800,
African Development Fund,,1988,597182000,
African Development Fund,,1989,829322200,
African Development Fund,,1990,927945300,
African Development Fund,,1991,925490100,
African Development Fund,,1992,950480200,
African Development Fund,,1993,978985800,
African Development Fund,,1994,805736400,
African Development Fund,,1995,694899460,
African Development Fund,,1996,769500100,
African Development Fund,,1997,816166000,
African Development Fund,,1998,811609600,
African Development Fund,,1999,637247170,
African Development Fund,,2000,432439500,
African Development Fund,,2001,638094500,
African Development Fund,,2002,909260200,
African Development Fund,,2003,633929900,
African Development Fund,,2004,1117076700,
African Development Fund,,2005,1006248260,
African Development Fund,,2006,2280486000,
African Development Fund,,2007,1326897000,
African Development Fund,,2008,1649242400,
African Development Fund,,2009,2721593000,
African Development Fund,,2010,1774769700,
African Development Fund,,2011,2112625900,
African Development Fund,,2012,2360631600,
African Development Fund,,2013,2173232400,
African Development Fund,,2014,1895430300,
African Development Fund,,2015,2265663500,
African Development Fund,,2016,2248160000,
African Development Fund,,2017,2634068000,
African Development Fund,,2018,2058425600,
African Development Fund,,2019,1734293400,
African Development Fund,,2020,2480664800,
African Development Fund,,2021,1910532900,
African Development Fund,,2022,882944260,
African Development Fund,,2023,1210573200,
Arab Bank for Economic Development in Africa,,1976,8203031.5,
Arab Bank for Economic Development in Africa,,1977,26217516,
Arab Bank for Economic Development in Africa,,1978,87070950,
Arab Bank for Economic Development in Africa,,1979,109779900,
Arab Bank for Economic Development in Africa,,1980,87190180,
Arab Bank for Economic Development in Africa,,1981,69537080,
Arab Bank for Economic Development in Africa,,1982,77313570,
Arab Bank for Economic Development in Africa,,1983,70188300,
Arab Bank for Economic Development in Africa,,1984,43871204,
Arab Bank for Economic Development in Africa,,1985,24515572,
Arab Bank for Economic Development in Africa,,1986,62843476,
Arab Bank for Economic Development in Africa,,1987,14964681,
Arab Bank for Economic Development in Africa,,1988,-10146252,
Arab Bank for Economic Development in Africa,,1989,-20475012,
